,BQ_score,BQ_score_percentile,V_score,V_score_percentile,BQ_RoC_score_percentile,BQ_growth_score_percentile,BQ_profitability_score_percentile,BQ_asset_intensity_score_percentile,BQ_capital_structure_score_percentile,BQ_reinvestment_score_percentile,BQ_shareholder_score_percentile
ACRG,6.5,0.294,-148.888,0.221,0.458,0.411,0.241,0.271,0.126,0.438,0.638
PHYT,30.7,0.352,-127.022,0.261,0.352,0.408,0.241,0.355,0.466,0.438,0.638
LIFW,-86.3,0.131,-200.83,0.118,0.902,0.277,0.091,0.307,0.226,0.438,0.007
BKKT,-236.4,0.022,-103.37,0.298,0.063,0.304,0.091,0.066,0.063,0.438,0.071
PZC,150.5,0.674,296.626,0.851,0.765,0.262,0.816,0.596,0.925,0.438,0.379
VXRT,-119.6,0.096,-258.796,0.037,0.013,0.245,0.349,0.223,0.756,0.807,0.071
THM,-26.9,0.225,-187.37,0.14,0.24,0.224,0.241,0.271,0.354,0.438,0.347
HAO,98.5,0.524,-15.387,0.423,0.945,0.277,0.713,0.524,0.026,0.044,0.638
CLPT,-121.0,0.094,-245.148,0.052,0.013,0.683,0.015,0.212,0.684,0.807,0.346
SFRX,-215.9,0.03,-283.55,0.019,0.749,0.167,0.015,0.309,0.126,0.807,0.071
ALTO,80.0,0.476,-189.585,0.137,0.294,0.217,0.571,0.952,0.752,0.438,0.22
ALAR,57.4,0.418,-170.432,0.177,0.207,0.699,0.461,0.721,0.742,0.905,0.007
DLTH,12.8,0.309,-134.762,0.251,0.144,0.293,0.293,0.798,0.623,0.438,0.277
EHI,-5.4,0.267,91.562,0.576,0.377,0.009,0.906,0.234,0.804,0.438,0.399
CDZI,-74.9,0.148,-301.083,0.009,0.392,0.277,0.349,0.555,0.314,0.438,0.002
IBATF,-15.4,0.248,-232.092,0.067,0.31,0.543,0.241,0.638,0.45,0.438,0.071
NNY,25.6,0.339,-28.228,0.405,0.193,0.083,0.922,0.377,0.311,0.438,0.638
BGX,108.8,0.554,378.172,0.93,0.844,0.292,0.385,0.468,0.921,0.438,0.638
BFCC,186.2,0.772,394.998,0.942,0.598,0.972,0.517,0.301,0.126,0.438,0.907
CRVO,-26.0,0.227,-216.125,0.09,0.392,0.145,0.241,0.271,0.391,0.438,0.387
MRCC,41.0,0.377,122.666,0.621,0.325,0.306,0.529,0.25,0.307,0.438,0.638
TEAF,7.8,0.297,79.967,0.559,0.248,0.025,0.922,0.333,0.4,0.438,0.638
MPA,81.0,0.479,88.426,0.572,0.491,0.067,0.896,0.23,0.836,0.438,0.988
FLC,-36.1,0.208,57.821,0.526,0.632,0.014,0.385,0.374,0.691,0.438,0.638
ACU,278.8,0.934,433.539,0.962,0.966,0.81,0.874,0.482,0.898,0.438,0.306
GOEV,-145.1,0.074,-270.897,0.028,0.063,0.145,0.241,0.271,0.642,0.438,0.071
LVO,112.0,0.562,-233.572,0.065,0.945,0.06,0.532,0.999,0.126,0.94,0.169
RCMT,199.2,0.804,412.495,0.952,0.945,0.251,0.605,0.999,0.099,0.438,0.638
EM,-106.3,0.109,26.6,0.481,0.088,0.043,0.041,0.995,0.782,0.879,0.367
CYDY,22.3,0.33,-256.95,0.04,0.945,0.417,0.241,0.571,0.126,0.438,0.071
RPTX,-186.5,0.045,-174.109,0.169,0.013,0.069,0.015,0.86,0.818,0.807,0.342
NOTV,2.0,0.283,-51.095,0.377,0.207,0.53,0.184,0.321,0.249,0.438,0.309
CIK,171.9,0.733,380.025,0.932,0.868,0.413,0.643,0.653,0.729,0.438,0.348
ISTR,-46.5,0.19,306.68,0.863,0.405,0.167,0.172,0.115,0.026,0.438,0.996
LICY,-130.3,0.086,-260.136,0.036,0.013,0.787,0.015,0.154,0.49,0.807,0.268
KPTI,164.5,0.713,-250.072,0.047,0.945,0.559,0.311,0.956,0.126,0.807,0.259
BFAC,30.0,0.35,11.128,0.46,0.357,0.413,0.241,0.355,0.421,0.438,0.638
GEVO,84.4,0.487,-178.281,0.16,0.268,0.857,0.349,0.15,0.568,0.807,0.263
SACH,53.0,0.408,304.176,0.86,0.544,0.795,0.915,0.155,0.317,0.438,0.001
ESHA,-80.0,0.14,-36.974,0.394,0.152,0.145,0.241,0.355,0.069,0.438,0.638
EMLD,-44.2,0.194,-81.468,0.332,0.255,0.457,0.241,0.355,0.43,0.438,0.141
PIM,0.8,0.281,-39.313,0.391,0.646,0.059,0.385,0.235,0.445,0.438,0.964
MDWD,-87.1,0.13,-193.337,0.131,0.392,0.216,0.091,0.985,0.126,0.807,0.071
PEBK,157.1,0.693,317.782,0.875,0.782,0.484,0.559,0.791,0.026,0.438,0.996
GGT,59.8,0.424,255.454,0.801,0.92,0.014,0.711,0.619,0.606,0.438,0.266
NRO,-4.3,0.27,83.647,0.564,0.063,0.043,0.899,0.524,0.578,0.438,0.403
COSO,175.0,0.742,360.025,0.916,0.863,0.965,0.824,0.12,0.126,0.438,0.161
BCAB,-176.8,0.051,-177.02,0.163,0.119,0.059,0.241,0.291,0.484,0.438,0.071
ARBE,43.5,0.383,-217.158,0.086,0.392,0.277,0.349,0.558,0.845,0.807,0.247
INTT,190.0,0.782,259.969,0.807,0.623,0.819,0.608,0.408,0.622,0.962,0.264
BCSA,24.5,0.335,-197.09,0.125,0.336,0.381,0.241,0.355,0.456,0.438,0.638
FUNC,23.7,0.333,318.967,0.877,0.576,0.443,0.181,0.213,0.126,0.438,0.925
BROG,208.7,0.827,478.933,0.981,0.878,0.849,0.81,0.53,0.063,0.438,0.638
EVBN,152.1,0.678,388.782,0.937,0.809,0.628,0.697,0.599,0.126,0.438,0.373
CBSTF,-153.3,0.068,-230.99,0.068,0.013,0.127,0.441,0.37,0.026,0.438,0.154
HWBK,-151.5,0.069,121.408,0.62,0.261,0.16,0.155,0.14,0.026,0.438,0.165
ACHV,-152.6,0.068,-216.125,0.09,0.063,0.145,0.241,0.271,0.445,0.438,0.071
VFF,43.2,0.383,-209.568,0.102,0.433,0.623,0.626,0.218,0.784,0.438,0.071
UBAB,122.0,0.591,251.316,0.796,0.406,0.622,0.695,0.323,0.126,0.438,0.986
SFWL,143.8,0.655,139.755,0.644,0.522,0.41,0.601,0.919,0.424,0.438,0.638
CAPT,96.8,0.52,-290.702,0.013,0.849,0.277,0.506,0.897,0.175,0.044,0.638
EDF,73.4,0.459,256.136,0.802,0.853,0.068,0.584,0.546,0.971,0.438,0.261
GRX,-65.5,0.16,77.911,0.556,0.541,0.011,0.33,0.204,0.814,0.438,0.638
AMLI,-23.2,0.233,-167.421,0.182,0.173,0.561,0.241,0.159,0.484,0.438,0.185
OMGA,47.2,0.392,-206.728,0.108,0.392,0.277,0.438,0.232,0.795,0.807,0.317
MCN,216.9,0.844,188.577,0.71,0.771,0.708,0.905,0.75,0.329,0.438,0.383
ULBI,148.8,0.67,196.667,0.722,0.336,0.643,0.553,0.418,0.68,0.944,0.349
BMN,140.7,0.647,146.738,0.654,0.366,0.592,0.604,0.804,0.434,0.438,0.638
MHF,70.8,0.452,-4.387,0.439,0.731,0.209,0.588,0.387,0.328,0.438,0.638
SWIN,262.0,0.917,-147.225,0.223,0.945,0.836,0.898,0.618,0.208,0.438,0.638
CRAWA,369.5,0.987,366.65,0.922,0.971,0.981,0.891,0.743,0.844,0.438,0.283
ZURA,-30.4,0.218,-4.845,0.438,0.353,0.145,0.241,0.355,0.693,0.438,0.246
IMAB,-4.5,0.27,-132.813,0.254,0.063,0.043,0.995,0.653,0.552,0.044,0.2
BZUN,-52.3,0.181,102.636,0.594,0.132,0.078,0.369,0.545,0.309,0.438,0.638
GRWG,-157.5,0.065,-128.749,0.259,0.094,0.23,0.052,0.297,0.536,0.438,0.248
RDCM,22.7,0.331,41.502,0.503,0.287,0.421,0.241,0.491,0.269,0.438,0.638
CTMX,112.2,0.563,-94.796,0.312,0.63,0.611,0.547,0.722,0.126,0.807,0.254
EP,114.9,0.571,56.175,0.524,0.716,0.758,0.805,0.877,0.096,0.438,0.071
VTSI,134.2,0.627,-42.943,0.387,0.34,0.581,0.625,0.127,0.967,0.993,0.279
VCXB,-53.2,0.179,-217.851,0.085,0.352,0.145,0.241,0.355,0.069,0.438,0.638
MDV,-45.9,0.191,-31.567,0.401,0.231,0.383,0.149,0.845,0.178,0.438,0.158
VABK,111.4,0.561,203.276,0.731,0.287,0.828,0.241,0.855,0.269,0.438,0.638
SYRS,-165.9,0.059,-222.295,0.077,0.376,0.289,0.015,0.49,0.807,0.807,0.071
WW,-50.3,0.184,-156.253,0.205,0.564,0.158,0.324,0.912,0.126,0.438,0.071
ELTP,206.7,0.822,-44.268,0.385,0.789,0.937,0.184,0.577,0.928,0.846,0.352
AMLX,258.6,0.912,-102.925,0.299,0.853,0.842,0.877,0.796,0.71,0.807,0.248
TAYD,287.0,0.942,132.049,0.634,0.809,0.924,0.939,0.673,0.412,0.864,0.314
MSD,11.1,0.305,143.961,0.65,0.093,0.277,0.545,0.432,0.329,0.438,0.638
PSQH,30.2,0.351,-242.725,0.055,0.152,0.543,0.131,0.723,0.618,0.807,0.638
EGRNQ,2.4,0.285,109.754,0.603,0.529,0.532,0.454,0.002,0.126,0.438,0.638
SCLX,-21.9,0.236,-275.48,0.025,0.997,0.681,0.015,0.237,0.226,0.807,0.071
ZFOX,42.0,0.38,-262.08,0.035,0.207,0.688,0.349,0.211,0.534,0.906,0.175
GF,61.5,0.429,307.901,0.864,0.823,0.015,0.612,0.677,0.527,0.438,0.961
EHTH,14.6,0.313,-101.525,0.302,0.368,0.363,0.525,0.467,0.481,0.438,0.149
BDSX,-133.6,0.083,-316.452,0.006,0.013,0.198,0.349,0.814,0.026,0.835,0.071
EVG,58.8,0.422,308.829,0.865,0.805,0.057,0.613,0.602,0.653,0.438,0.402
PVBC,-83.5,0.135,187.828,0.709,0.119,0.394,0.114,0.541,0.026,0.438,0.268
RLMD,-125.6,0.09,-173.378,0.173,0.109,0.145,0.241,0.271,0.566,0.438,0.143
SAMG,22.6,0.331,240.891,0.782,0.594,0.355,0.149,0.447,0.523,0.438,0.318
ISRL,80.0,0.476,45.418,0.508,0.849,0.543,0.241,0.355,0.175,0.438,0.638
RELL,224.7,0.859,163.103,0.677,0.812,0.901,0.811,0.318,0.835,0.438,0.269
TWLV,29.4,0.349,-126.745,0.262,0.47,0.372,0.241,0.271,0.459,0.438,0.638
OPTN,203.8,0.815,-266.198,0.031,0.934,0.579,0.349,0.93,0.126,0.976,0.301
SATL,84.9,0.489,-145.125,0.227,0.89,0.33,0.438,0.175,0.226,0.807,0.357
ISBA,23.2,0.332,360.692,0.916,0.598,0.403,0.463,0.032,0.026,0.438,0.972
WNEB,19.9,0.325,301.225,0.856,0.499,0.215,0.371,0.22,0.126,0.438,0.993
ALSA,11.6,0.306,-101.083,0.303,0.267,0.354,0.241,0.355,0.421,0.438,0.638
AJX,-100.5,0.114,-101.525,0.302,0.093,0.223,0.922,0.301,0.077,0.438,0.002
LYBC,104.9,0.542,315.838,0.873,0.875,0.584,0.701,0.041,0.026,0.438,0.906
DMF,32.9,0.357,25.302,0.479,0.711,0.108,0.398,0.364,0.748,0.438,0.638
CMCM,-43.5,0.196,-4.074,0.439,0.18,0.358,0.084,0.547,0.741,0.835,0.234
UEIC,93.1,0.511,-10.417,0.431,0.312,0.21,0.49,0.554,0.577,0.955,0.927
FTEL,-42.4,0.197,-242.725,0.055,0.063,0.277,0.053,0.983,0.95,0.438,0.638
SPE,179.9,0.755,396.484,0.943,0.853,0.471,0.592,0.681,0.315,0.438,0.954
PLG,-52.2,0.181,-203.088,0.115,0.255,0.145,0.241,0.159,0.895,0.438,0.229
DTI,247.8,0.897,191.654,0.715,0.849,0.758,0.91,0.965,0.16,0.438,0.287
BWG,-5.8,0.266,208.928,0.738,0.771,0.023,0.385,0.388,0.615,0.438,0.638
BRAG,114.9,0.57,-135.641,0.25,0.54,0.652,0.681,0.58,0.913,0.438,0.156
SGA,47.0,0.392,226.302,0.762,0.587,0.291,0.721,0.68,0.62,0.438,0.14
VCSA,-48.5,0.187,-129.242,0.258,0.258,0.321,0.111,0.89,0.098,0.946,0.15
ATEK,9.7,0.301,-195.416,0.128,0.258,0.349,0.241,0.355,0.429,0.438,0.638
RECAF,-82.2,0.137,-147.659,0.222,0.152,0.543,0.131,0.638,0.866,0.044,0.071
LTRPA,165.2,0.715,-42.043,0.388,0.897,0.966,0.15,0.543,0.126,0.438,0.261
OPBK,149.1,0.671,288.334,0.841,0.782,0.672,0.696,0.58,0.026,0.438,0.901
DRCT,74.4,0.462,113.059,0.608,0.945,0.277,0.604,0.819,0.126,0.438,0.135
CFFI,98.5,0.524,433.714,0.962,0.708,0.522,0.404,0.334,0.026,0.438,0.997
FRD,169.7,0.727,389.6,0.938,0.795,0.79,0.149,0.905,0.644,0.438,0.921
BADEF,-91.9,0.124,-216.125,0.09,0.392,0.145,0.241,0.271,0.748,0.438,0.071
ANVS,-82.7,0.136,-216.125,0.09,0.063,0.145,0.241,0.271,0.396,0.438,0.303
PWOD,6.0,0.293,354.128,0.91,0.621,0.489,0.661,0.137,0.026,0.438,0.154
DDCCF,2.3,0.284,172.058,0.688,0.379,0.505,0.177,0.399,0.089,0.438,0.274
VMCA,38.9,0.372,-19.338,0.418,0.257,0.543,0.241,0.355,0.437,0.438,0.638
SOWG,-42.4,0.197,-325.85,0.004,0.063,0.277,0.438,0.055,0.686,0.438,0.302
